id,symbol,pairSymbol,contractAddress,pairContractAddress,decimals,pairDecimals,chain,modalCexToDex,modalDexToCex,Binance,MEXC,Gateio,INDODAX,KyberSwap,Matcha,OKXDEX,ODOS,ParaSwap,Lifi,isActive
1,1INCH,USDT,0x111111111117dc0aa78b770fa6a738034120c302,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
2,1INCH,ETH,0x111111111117dC0aa78b770fA6A738034120C302,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,Ethereum,350,300,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
3,1MBABYDOGE,ETH,0xAC57De9C1A09FeC648E93EB98875B212DB0d460B,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,15,18,Ethereum,1000,1000,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
4,AAVE,USDT,0xfb6115445bff7b52feb98650c87f44907e58f802,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
5,ABYSS,ETH,0x0E8d6b471e332F140e7d9dbB99E5E3822F728DA6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,Ethereum,300,250,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
6,ACE,USDT,0xc27a719105a987b4c34116223cae8bd8f4b5def4,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,50,40,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
7,ADA,USDT,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
8,AI,USDT,0xbda011d7f8ec00f66c1923b049b94c67d148d8b2,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,300,240,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
9,AIXBT,USDC,0x4F9Fd6Be4a90f2620860d680c0d4d5Fb53d1A825,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,18,6,Base,1000,900,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
10,ALPA,ETH,0x7cA4408137eb639570F8E647d9bD7B7E8717514A,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,Ethereum,70,70,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
11,ALPACA,USDT,0x8F0528cE5eF7B51152A59745bEfDD91D97091d2F,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,250,200,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
12,ALPHA,ETH,0xa1faa113cbE53436Df28FF0aEe54275c13B40975,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,Ethereum,450,400,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
13,ALT,USDT,0x8457ca5040ad67fdebbcc8edce889a335bc0fbfb,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
14,ALTLAYER,ETH,0x8457CA5040ad67fdebbCC8EdCE889A335Bc0fbFB,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,Ethereum,300,250,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
15,ANKR,USDT,0xf307910a4c7bbc79691fd374889b36d8531b08e3,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
16,APE,USDT,0xc762043e211571eb34f1ef377e5e8e76914962f9,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,150,150,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
17,ARPA,USDT,0x6f769e65c14ebd1f68817f5f1dcdb61cfa2d6f7e,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,70,60,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
18,ASM,ETH,0x2565ae0385659badCada1031DB704442E1b69982,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,Ethereum,30,25,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
19,ATA,USDT,0xa2120b9e674d3fc3875f415a7df52e382f141225,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,150,120,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
20,ATOM,USDT,0x0eb3a705fc54725037cc9e008bdede697f62f335,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
21,AUCTION,USDT,0x1188d953afc697c031851169eef640f23ac8529c,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,150,150,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
22,AUCTION,BNB,0x1188d953aFC697C031851169EEf640F23ac8529C,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,18,18,BSC,80,60,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
23,AVA,USDT,0xd9483ea7214fcfd89b4fb8f513b544920e315a52,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
24,AVAX,USDT,0x1ce0c2827e2ef14d5c4f29a091d735a204794041,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
25,AXL,USDT,0x8b1f4432f943c465a973fedc6d7aa50fc96f1f65,0x55d398326f99059fF775485246999027B3197955,6,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
26,AXS,USDT,0x715d400f88c167884bbcc41c5fea407ed4d2f8a0,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
27,BAG,ETH,0x808688c820AB080A6Ff1019F03E5EC227D9b522B,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,Ethereum,70,60,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
28,BAKE,USDT,0xe02df9e3e622debdd69fb838bb799e3f168902c5,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
29,BANANAS31,USDT,0x3d4f0513e8a29669b960f9dbca61861548a9a760,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
30,BANANAS31,BNB,0x3d4f0513E8a29669B960f9dBcA61861548A9A760,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,18,18,BSC,500,450,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
31,BAND,USDT,0xad6caeb32cd2c308980a548bd0bc5aa4306c6c18,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
32,BAT,USDT,0x101d82428437127bf1608f699cd651e6abf9766e,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
33,BAT,ETH,0x0D8775F648430679A709E98d2b0Cb6250d2887EF,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,Ethereum,1200,1100,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
34,BCH,USDT,0x8ff795a6f4d97e7887c79bea79aba5cc76444adf,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
35,BEAMX,USDT,0x62d0a8458ed7719fdaf978fe5929c6d342b0bfce,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
36,BEAR,ETH,0x17837004eA685690b32dbEaD02a274Ec4333A26a,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,18,Ethereum,40,35,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
37,BEL,USDT,0x8443f091997f06a61670b735ed92734f5628692f,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
38,BETA,USDT,0xBe1a001FE942f96Eea22bA08783140B9Dcc09D28,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,50,40,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
39,BMT,USDT,0x7d814b9ed370ec0a502edc3267393bf62d891b62,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
40,BNT,USDT,0xa069008a669e2af00a86673d9d584cfb524a42cc,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,30,30,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
41,BONK,USDT,0xa697e272a73744b343528c3bc4702f2565b2f422,0x55d398326f99059fF775485246999027B3197955,5,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
42,BROCCOLI714,USDT,0x6d5ad1592ed9d6d1df9b93c793ab759573ed6714,0x55d398326f99059fF775485246999027B3197955,18,18,BSC,500,400,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
